File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\kb\Documents\GitHub\MobiiliProjekti\app\src\main\res\layout\activity_bottom__nav__bar.xml,49,43,0,0,6,0,0,0,0,0
C:\Users\kb\Documents\GitHub\MobiiliProjekti\app\src\main\res\layout\activity_guide_1.xml,60,48,0,0,12,0,0,0,0,0
C:\Users\kb\Documents\GitHub\MobiiliProjekti\app\src\main\res\layout\activity_guide_2.xml,57,49,0,0,8,0,0,0,0,0
C:\Users\kb\Documents\GitHub\MobiiliProjekti\app\src\main\res\layout\activity_guide_3.xml,55,47,0,0,8,0,0,0,0,0
C:\Users\kb\Documents\GitHub\MobiiliProjekti\app\src\main\res\layout\activity_guide_4.xml,57,49,0,0,8,0,0,0,0,0
C:\Users\kb\Documents\GitHub\MobiiliProjekti\app\src\main\res\layout\activity_guide_5.xml,55,47,0,0,8,0,0,0,0,0
C:\Users\kb\Documents\GitHub\MobiiliProjekti\app\src\main\res\layout\activity_guide_6.xml,57,49,0,0,8,0,0,0,0,0
C:\Users\kb\Documents\GitHub\MobiiliProjekti\app\src\main\res\layout\activity_guide_list.xml,29,25,0,0,4,0,0,0,0,0
C:\Users\kb\Documents\GitHub\MobiiliProjekti\app\src\main\res\layout\activity_login.xml,123,111,0,0,12,0,0,0,0,0
C:\Users\kb\Documents\GitHub\MobiiliProjekti\app\src\main\res\layout\activity_main.xml,157,141,0,0,16,0,0,0,0,0
C:\Users\kb\Documents\GitHub\MobiiliProjekti\app\src\main\res\layout\activity_main_map.xml,32,27,0,0,5,0,0,0,0,0
C:\Users\kb\Documents\GitHub\MobiiliProjekti\app\src\main\res\layout\activity_map.xml,215,191,0,0,24,0,0,0,0,0
C:\Users\kb\Documents\GitHub\MobiiliProjekti\app\src\main\res\layout\activity_nav__main_toolbar.xml,26,22,0,0,4,0,0,0,0,0
C:\Users\kb\Documents\GitHub\MobiiliProjekti\app\src\main\res\layout\activity_new_post.xml,142,129,0,0,13,0,0,0,0,0
C:\Users\kb\Documents\GitHub\MobiiliProjekti\app\src\main\res\layout\activity_post_comments.xml,65,52,0,0,13,0,0,0,0,0
C:\Users\kb\Documents\GitHub\MobiiliProjekti\app\src\main\res\layout\activity_register.xml,184,166,0,0,18,0,0,0,0,0
C:\Users\kb\Documents\GitHub\MobiiliProjekti\app\src\main\res\layout\activity_shoutboard.xml,34,27,0,0,7,0,0,0,0,0
C:\Users\kb\Documents\GitHub\MobiiliProjekti\app\src\main\res\layout\activity_trap_details.xml,9,8,0,0,1,0,0,0,0,0
C:\Users\kb\Documents\GitHub\MobiiliProjekti\app\src\main\res\layout\activity_trap_list.xml,31,26,0,0,5,0,0,0,0,0
C:\Users\kb\Documents\GitHub\MobiiliProjekti\app\src\main\res\layout\app_bar_nav__main_toolbar.xml,25,20,0,0,5,0,0,0,0,0
C:\Users\kb\Documents\GitHub\MobiiliProjekti\app\src\main\res\layout\comment_list_item.xml,62,55,0,0,7,0,0,0,0,0
C:\Users\kb\Documents\GitHub\MobiiliProjekti\app\src\main\res\layout\content_nav__main_toolbar.xml,11,10,0,0,1,0,0,0,0,0
C:\Users\kb\Documents\GitHub\MobiiliProjekti\app\src\main\res\layout\custom_info_window.xml,28,25,0,0,3,0,0,0,0,0
C:\Users\kb\Documents\GitHub\MobiiliProjekti\app\src\main\res\layout\guidelist_item.xml,37,33,0,0,4,0,0,0,0,0
C:\Users\kb\Documents\GitHub\MobiiliProjekti\app\src\main\res\layout\nav_header_nav__main_toolbar.xml,31,27,0,0,4,0,0,0,0,0
C:\Users\kb\Documents\GitHub\MobiiliProjekti\app\src\main\res\layout\shoutboard_list_item.xml,115,97,0,0,18,0,0,0,0,0
C:\Users\kb\Documents\GitHub\MobiiliProjekti\app\src\main\res\layout\traplist_item.xml,91,79,0,0,12,0,0,0,0,0
C:\Users\kb\Documents\GitHub\MobiiliProjekti\app\src\main\res\layout\trap_custom_marker.xml,16,14,0,0,2,0,0,0,0,0
